County, FIPS,Value_Index
"Manatee County, Florida",12081,0.6983
"Marion County, Florida",12083,0.8542
"Martin County, Florida",12085,0.4898
"Miami-Dade County, Florida",12086,0.9007
"Monroe County, Florida",12087,0.6986
"Nassau County, Florida",12089,0.2976
"Okaloosa County, Florida",12091,0.5385
"Okeechobee County, Florida",12093,0.9093
"Orange County, Florida",12095,0.8011
"Osceola County, Florida",12097,0.873
"Palm Beach County, Florida",12099,0.7884
"Pasco County, Florida",12101,0.747
"Pinellas County, Florida",12103,0.7247
"Polk County, Florida",12105,0.9188
"Putnam County, Florida",12107,0.9666
"St. Johns County, Florida",12109,0.163
"St. Lucie County, Florida",12111,0.7868
"Santa Rosa County, Florida",12113,0.464
"Sarasota County, Florida",12115,0.4122
"Seminole County, Florida",12117,0.3358
"Sumter County, Florida",12119,0.2759
"Suwannee County, Florida",12121,0.8794
"Taylor County, Florida",12123,0.8539
"Union County, Florida",12125,0.6448
"Volusia County, Florida",12127,0.6579
"Wakulla County, Florida",12129,0.2282
"Walton County, Florida",12131,0.7142
"Washington County, Florida",12133,0.8616
"Appling County, Georgia",13001,0.8892
"Atkinson County, Georgia",13003,0.9052
"Bacon County, Georgia",13005,0.9332
"Baker County, Georgia",13007,0.6996
"Baldwin County, Georgia",13009,0.887
"Banks County, Georgia",13011,0.5102
"Barrow County, Georgia",13013,0.5255
"Bartow County, Georgia",13015,0.6343
"Ben Hill County, Georgia",13017,0.9558
"Berrien County, Georgia",13019,0.7018
"Bibb County, Georgia",13021,0.9564
"Bleckley County, Georgia",13023,0.6321
"Brantley County, Georgia",13025,0.4761
"Brooks County, Georgia",13027,0.8994
"Bryan County, Georgia",13029,0.3555
"Bulloch County, Georgia",13031,0.8253
"Burke County, Georgia",13033,0.6846
"Butts County, Georgia",13035,0.7237
"Calhoun County, Georgia",13037,0.9545
"Camden County, Georgia",13039,0.6025
"Candler County, Georgia",13043,0.9914
"Carroll County, Georgia",13045,0.768
"Catoosa County, Georgia",13047,0.2753
"Charlton County, Georgia",13049,0.9456
"Chatham County, Georgia",13051,0.8323
"Chattahoochee County, Georgia",13053,0.7428
"Chattooga County, Georgia",13055,0.9122
"Cherokee County, Georgia",13057,0.2228
"Clarke County, Georgia",13059,0.8211
"Clay County, Georgia",13061,0.9411
"Clayton County, Georgia",13063,0.9539
"Clinch County, Georgia",13065,0.9427
"Cobb County, Georgia",13067,0.4227
"Coffee County, Georgia",13069,0.9675
"Colquitt County, Georgia",13071,0.9809
"Columbia County, Georgia",13073,0.1645
"Cook County, Georgia",13075,0.8908
"Coweta County, Georgia",13077,0.2963
"Crawford County, Georgia",13079,0.5395
"Crisp County, Georgia",13081,0.9933
"Dade County, Georgia",13083,0.5675
"Dawson County, Georgia",13085,0.1887
"Decatur County, Georgia",13087,0.9602
"DeKalb County, Georgia",13089,0.8164
"Dodge County, Georgia",13091,0.8173
